TVD_ft,RHOB_gcc,PR_dyn,E_GPa,Sv_MPa,Pp_MPa,Shmin_MPa,SHmax_MPa,Sv_psift,Shmin_psift
11196.7379,,0.3701,,81.23637207689279,46.319272207914175,63.01409563637228,63.01409563637228,1.0523011464287986,0.8162575873841852
11196.9287,,0.3502,,81.23637207689279,46.320061519695535,60.86637403257692,60.86637403257692,1.052283214809859,0.7884234869596994
11197.1194,,0.3486,,81.23637207689279,46.320850417791476,60.699665506924525,60.699665506924525,1.0522652931996759,0.7862506619732991
11197.3102,,0.3476,,81.23637207689279,46.32163972957284,60.59600178661401,60.59600178661401,1.0522473628026112,0.7848945176428382
11197.5009,,0.3476,,81.23637207689279,46.32242862766877,60.5962966439281,60.5962966439281,1.0522294424135994,0.7848849696244132
11197.6917,,0.3485,,81.23637207689279,46.32321793945013,60.690136143238455,60.690136143238455,1.0522115132382845,0.7860870489079695
11197.8825,,0.3503,,81.23637207689279,46.32400725123149,60.878293605280156,60.878293605280156,1.0521935846739576,0.7885107168097388
11198.0732,,0.353,,81.23637207689279,46.32479614932744,61.16233600844664,61.16233600844664,1.0521756661166295,0.7921762135072183
11198.264,,0.3564,,81.23637207689279,46.325585461108794,61.52332119911273,61.52332119911273,1.0521577387738652,0.7968381263191511
11198.4548,,0.3603,,81.23637207689279,46.326374772890155,61.942060572988716,61.942060572988716,1.0521398120419951,0.8022478885082552
11198.6455,,0.3645,,81.23637207689279,46.3271636709861,62.398720229578615,62.398720229578615,1.05212189531607,0.8081485929861645
11198.8363,,0.3687,,81.23637207689279,46.327952982767464,62.86143948577565,62.86143948577565,1.052103969805575,0.8141275679824419
11199.0271,,0.3724,,81.23637207689279,46.32874229454881,63.27422082264175,63.27422082264175,1.052086044905881,0.819459597072897
11199.2178,,0.3753,,81.23637207689279,46.32953119264476,63.601214189233794,63.601214189233794,1.052068130011078,0.8236804373189652
11199.4086,,0.3771,,81.23637207689279,46.33032050442611,63.805795688210985,63.805795688210985,1.0520502063325718,0.8263158336940325
11199.5993,,0.3777,,81.23637207689279,46.33110940252206,63.87441623224799,63.87441623224799,1.0520322926582542,0.8271904177037162
11199.7901,,0.377,,81.23637207689279,46.33189871430342,63.794911621129216,63.794911621129216,1.052014370200811,0.8261467376656594
11199.9809,,0.375,,81.23637207689279,46.33268802608478,63.5682834144828,63.5682834144828,1.0519964483540125,0.8231978690124075
11200.1716,,0.3719,,81.23637207689279,46.33347692418071,63.219736038491504,63.219736038491504,1.0519785365103496,0.81867030365897
11200.3624,,0.3682,,81.23637207689279,46.33426623596207,62.80817072262047,62.80817072262047,1.051960615884427,0.8133268419889934
11200.5532,,0.364,,81.23637207689279,46.33505554774343,62.346772835185455,62.346772835185455,1.0519426958690556,0.8073382724785162
11200.7439,,0.36,,81.23637207689279,46.33584444583938,61.91300484929597,61.91300484929597,1.051924785855766,0.8017076920438684
11200.9347,,0.3564,,81.23637207689279,46.33663375762074,61.5272653517022,61.5272653517022,1.0519068670610836,0.7966992035745342
11201.1255,,0.3535,,81.23637207689279,46.3374230694021,61.21972079914841,61.21972079914841,1.0518889488768586,0.7927033927733479
11201.3162,,0.3515,,81.23637207689279,46.33821196749803,61.00931988975381,61.00931988975381,1.0518710406936624,0.789965567931877
11201.507,,0.3504,,81.23637207689279,46.339001279279394,60.894285902019014,60.894285902019014,1.051853123729939,0.7884626455587603
11201.6977,,0.3501,,81.23637207689279,46.33979017737534,60.86319301471284,60.86319301471284,1.0518352167665423,0.7880466370056417
11201.8885,,0.3502,,81.23637207689279,46.340579489156696,60.87394212571397,60.87394212571397,1.0518173010231961,0.7881723896865549
11202.0793,,0.3507,,81.23637207689279,46.341368800938056,60.92656994691882,60.92656994691882,1.0517993858901515,0.7888403582807273
11202.27,,0.3513,,81.23637207689279,46.342157699034,60.98976980170588,60.98976980170588,1.0517814807563803,0.7896451891316731
11202.4608,,0.3517,,81.23637207689279,46.34294701081536,61.03206312844279,61.03206312844279,1.0517635668435257,0.7901793096697023
11202.6516,,0.3518,,81.23637207689279,46.34373632259671,61.04286092790037,61.04286092790037,1.0517456535408793,0.7903056478180831
11202.8423,,0.3517,,81.23637207689279,46.34452522069266,61.032640758613525,61.032640758613525,1.0517277502364537,0.7901598793122948
11203.0331,,0.3513,,81.23637207689279,46.34531453247402,60.99092761550586,60.99092761550586,1.0517098381538101,0.7896063914651356
11203.2239,,0.3507,,81.23637207689279,46.34610384425538,60.92831198780537,60.92831198780537,1.0516919266812812,0.7887823173989301
11203.4146,,0.35,,81.23637207689279,46.346892742351315,60.85536074627199,60.85536074627199,1.0516740252059207,0.7878244751108804
11203.6054,,0.3494,,81.23637207689279,46.347682054132676,60.79300010979119,60.79300010979119,1.0516561149532078,0.7870037604744093
11203.7962,,0.349,,81.23637207689279,46.34847136591404,60.7515891502925,60.7515891502925,1.051638205310516,0.7864542759652382
11203.9869,,0.3489,,81.23637207689279,46.34926026400998,60.74146425903079,60.74146425903079,1.05162030566394,0.7863098212964961
11204.1777,,0.3491,,81.23637207689279,46.35004957579134,60.76259557784965,60.76259557784965,1.0516023972408772,0.7865699752293597
11204.3684,,0.3496,,81.23637207689279,46.35083847388727,60.815039127364635,60.815039127364635,1.0515844988132288,0.7872354563116619
11204.5592,,0.3506,,81.23637207689279,46.35162778566863,60.91987243000438,60.91987243000438,1.0515665916096708,0.7885790683990616
11204.75,,0.3519,,81.23637207689279,46.352417097449994,61.05654696693462,61.05654696693462,1.0515486850159779,0.790334797495946
11204.9407,,0.3537,,81.23637207689279,46.353205995545935,61.24657784780191,61.24657784780191,1.0515307884166474,0.7927811231053198
11205.1315,,0.356,,81.23637207689279,46.353995307327295,61.49085245059323,61.49085245059323,1.0515128830422722,0.7959294819302002
11205.3223,,0.3588,,81.23637207689279,46.354784619108656,61.790522835836185,61.790522835836185,1.051494978277669,0.7997947570274917
11205.513,,0.362,,81.23637207689279,46.3555735172046,62.13617135491218,62.13617135491218,1.0514770835063756,0.8042550223029905
11205.7038,,0.3657,,81.23637207689279,46.35636282898596,62.54011747313921,62.54011747313921,1.0514591799609034,0.8094696864444307
11205.8946,,0.3698,,81.23637207689279,46.35715214076731,62.9932280672796,62.9932280672796,1.0514412770251094,0.8153205081623064
11206.0853,,0.374,,81.23637207689279,46.35794103886326,63.46352087890214,63.46352087890214,1.0514233840815739,0.8213935233969786
11206.2761,,0.3781,,81.23637207689279,46.35873035064461,63.928732995438,63.928732995438,1.051405482364724,0.8274005674257955
11206.4668,,0.3819,,81.23637207689279,46.359519248740554,64.36541862709493,64.36541862709493,1.0513875906394314,0.8330382152810206
11206.6576,,0.3852,,81.23637207689279,46.360308560521915,64.74904359208811,64.74904359208811,1.0513696901414011,0.8379889470437016
11206.8484,,0.3878,,81.23637207689279,46.361097872303276,65.05424596774732,65.05424596774732,1.0513517902528937,0.8419245740935514
11207.0391,,0.3897,,81.23637207689279,46.361886770399224,65.27897751205172,65.27897751205172,1.051333900354892,0.844818648153861
11207.2299,,0.3909,,81.23637207689279,46.362676082180585,65.42171495938736,65.42171495938736,1.0513160016850174,0.8466514941038801
11207.4207,,0.3913,,81.23637207689279,46.363465393961945,65.4695684163069,65.4695684163069,1.0512981036245723,0.847256362655323
11207.6114,,0.3911,,81.23637207689279,46.36425429205787,65.4459727165724,65.4459727165724,1.0512802155535816,0.8469365943554045
11207.8022,,0.3905,,81.23637207689279,46.36504360383923,65.37483008272235,65.37483008272235,1.0512623187115828,0.8460015347938853
11207.993,,0.3896,,81.23637207689279,46.365832915620594,65.26826881941786,65.26826881941786,1.05124442247892,0.8446081700487995
11208.1837,,0.3886,,81.23637207689279,46.36662181371654,65.15021403525904,65.15021403525904,1.0512265362346602,0.8430661301615783
11208.3745,,0.3877,,81.23637207689279,46.3674111254979,65.04432122364985,65.04432122364985,1.0512086412202573,0.8416815126589805
11208.5652,,0.3869,,81.23637207689279,46.36820002359383,64.95048415074109,64.95048415074109,1.0511907561935563,0.8404529498797698
11208.756,,0.3865,,81.23637207689279,46.36898933537519,64.9037755028903,64.9037755028903,1.0511728623972882,0.8398342482747383
11208.9468,,0.3864,,81.23637207689279,46.36977864715655,64.89228347036922,64.89228347036922,1.0511549692102007,0.8396712517972973
11209.1375,,0.3866,,81.23637207689279,46.37056754525249,64.91597199272476,64.91597199272476,1.0511370860097646,0.8399634780752772
11209.3283,,0.3871,,81.23637207689279,46.37135685703386,64.97490868595169,64.97490868595169,1.051119194040626,0.8407117637675416
11209.5191,,0.3877,,81.23637207689279,46.37214616881521,65.04571072648058,65.04571072648058,1.0511013026805744,0.8416135473611933
11209.7098,,0.3882,,81.23637207689279,46.37293506691116,65.1048549608023,65.1048549608023,1.051083421306123,0.8423644722965625
11209.9006,,0.3883,,81.23637207689279,46.37372437869252,65.11687967699427,65.11687967699427,1.0510655311638337,0.8425057148126806
11210.0914,,0.388,,81.23637207689279,46.374513690473876,65.08174055419497,65.08174055419497,1.051047641630538,0.8420367401187072
11210.2821,,0.3872,,81.23637207689279,46.37530258856981,64.98782291017945,64.98782291017945,1.0510297620817926,0.8408073170334041
11210.4729,,0.386,,81.23637207689279,46.37609190035118,64.8472944369783,64.8472944369783,1.0510118737660725,0.8389748913252508
11210.6637,,0.3846,,81.23637207689279,46.37688121213253,64.68400397754488,64.68400397754488,1.0509939860592534,0.836848045236251
11210.8544,,0.3831,,81.23637207689279,46.37767011022848,64.50986150117485,64.50986150117485,1.0509761083359337,0.8345808836172739
11211.0452,,0.3819,,81.23637207689279,46.37845942200984,64.37120884735211,64.37120884735211,1.0509582218465034,0.8327729249687423
11211.2359,,0.381,,81.23637207689279,46.37924832010577,64.26763593125088,64.26763593125088,1.0509403453398727,0.8314188555322963
11211.4267,,0.3806,,81.23637207689279,46.380037631887134,64.2218366187619,64.2218366187619,1.0509224600677074,0.8308122187629471
11211.6175,,0.3806,,81.23637207689279,46.3808269436685,64.22208006422962,64.22208006422962,1.0509045754042874,0.8308012292522954
11211.8082,,0.3809,,81.23637207689279,46.381615841764436,64.2568483910436,64.2568483910436,1.0508867007226166,0.8312368669120411
11211.999,,0.3813,,81.23637207689279,46.3824051535458,64.30317611068472,64.30317611068472,1.050868817276275,0.8318220139444701
11212.1898,,0.3815,,81.23637207689279,46.38319446532716,64.3264828099606,64.3264828099606,1.0508509344385857,0.8321093475963143
11212.3805,,0.3816,,81.23637207689279,46.38398336342309,64.33826227831365,64.33826227831365,1.0508330615815955,0.8322475684015795
11212.5713,,0.3813,,81.23637207689279,46.38477267520446,64.30390285985786,64.30390285985786,1.050815179960798,0.8317889576839378
11212.7621,,0.3808,,81.23637207689279,46.38556198698582,64.24655179108319,64.24655179108319,1.0507972989485597,0.8310329642112589
11212.9528,,0.38,,81.23637207689279,46.386350885081754,64.1548399341209,64.1548399341209,1.0507794279159703,0.8298325525936593
11213.1436,,0.3791,,81.23637207689279,46.387140196863115,64.05191988086851,64.05191988086851,1.0507615481204378,0.8284872006642904
11213.3343,,0.3782,,81.23637207689279,46.387929094959055,63.949301289010094,63.949301289010094,1.0507436783038546,0.8271458011169472
11213.5251,,0.3774,,81.23637207689279,46.388718406740416,63.85836463939213,63.85836463939213,1.0507257997249033,0.8259555361647584
11213.7159,,0.3769,,81.23637207689279,46.38950771852178,63.80174302041557,63.80174302041557,1.0507079217543562,0.8252091409231533
11213.9066,,0.3768,,81.23637207689279,46.39029661661772,63.79062944101555,63.79062944101555,1.0506900537617085,0.8250513675504041
11214.0974,,0.3771,,81.23637207689279,46.39108592839908,63.824978402884355,63.824978402884355,1.0506721770075564,0.8254815828376136
11214.2882,,0.3779,,81.23637207689279,46.39187524018044,63.91631852560592,63.91631852560592,1.0506543008617149,0.8266488672169138
11214.4789,,0.3792,,81.23637207689279,46.39266413827637,64.06508765496747,64.06508765496747,1.0506364346927237,0.8285588531499369
11214.6697,,0.3809,,81.23637207689279,46.393453450057734,64.26049202637938,64.26049202637938,1.050618559763091,0.8310718937389137
11214.8605,,0.3829,,81.23637207689279,46.3942427618391,64.49170667979327,64.49170667979327,1.050600685441676,0.8340479702732422
11215.0512,,0.3849,,81.23637207689279,46.395031659935036,64.72441658736737,64.72441658736737,1.0505828210960624,0.8370432902615419
11215.242,,0.3869,,81.23637207689279,46.3958209717164,64.95863663283579,64.95863663283579,1.05056494799067,0.840058030301077
11215.4327,,0.3886,,81.23637207689279,46.39660986981234,65.15895638252518,65.15895638252518,1.05054708486038,0.8426342773581023
11215.6235,,0.3899,,81.23637207689279,46.39739918159369,65.31294429209973,65.31294429209973,1.0505292129708865,0.8446112770649872
11215.8143,,0.3907,,81.23637207689279,46.39818849337505,65.4081171412497,65.4081171412497,1.0505113416894554,0.8458276402397344
11216.005,,0.3909,,81.23637207689279,46.39897739147099,65.43211843426789,65.43211843426789,1.0504934803820771,0.8461236274525595
11216.1958,,0.3906,,81.23637207689279,46.399766703252354,65.39668870523731,65.39668870523731,1.0504756103163586,0.8456510885946336
11216.3866,,0.3897,,81.23637207689279,46.400556015033715,65.29015946894685,65.29015946894685,1.0504577408586093,0.8442591866501721
11216.5773,,0.3884,,81.23637207689279,46.401344913129655,65.13674143615695,65.13674143615695,1.0504398813738642,0.8422610365036116
11216.7681,,0.3868,,81.23637207689279,46.40213422491101,64.94876593306917,64.94876593306917,1.0504220131316417,0.8398161035213944
11216.9589,,0.3851,,81.23637207689279,46.40292353669237,64.75010627711325,64.75010627711325,1.050404145497295,0.8372331052707892
11217.1496,,0.3835,,81.23637207689279,46.403712434788325,64.56415359178091,64.56415359178091,1.050386287834904,0.8348145034625883
11217.3404,,0.3821,,81.23637207689279,46.40450174656967,64.40227056166636,64.40227056166636,1.050368421415898,0.8327071918158515
11217.5312,,0.3809,,81.23637207689279,46.40529105835103,64.26413566171513,64.26413566171513,1.0503505556046753,0.8309070047323871
11217.7219,,0.38,,81.23637207689279,46.40607995644697,64.16094958202756,64.16094958202756,1.0503326997643592,0.8295587514684782
11217.9127,,0.3793,,81.23637207689279,46.406869268228334,64.08095782478765,64.08095782478765,1.050314835168291,0.8285104188486108
11218.1034,,0.3788,,81.23637207689279,46.40765816632428,64.02400324266033,64.02400324266033,1.050296980542431,0.8277599746128025
11218.2942,,0.3786,,81.23637207689279,46.40844747810564,64.00139572973745,64.00139572973745,1.0502791171613932,0.827453610809951
11218.485,,0.3784,,81.23637207689279,46.409236789887,63.97880357743991,63.97880357743991,1.0502612543879837,0.8271474560173955
11218.6757,,0.3783,,81.23637207689279,46.41002568798293,63.96763673580921,63.96763673580921,1.0502434015837339,0.8269890281793897
11218.8665,,0.3782,,81.23637207689279,46.41081499976429,63.95647402160649,63.95647402160649,1.0502255400251692,0.8268306517168204
11219.0573,,0.3779,,81.23637207689279,46.41160431154565,63.922514107316104,63.922514107316104,1.0502076790741393,0.826377562967557
11219.248,,0.3773,,81.23637207689279,46.41239320964159,63.8544471166348,63.8544471166348,1.0501898280912214,0.8254835749780276
11219.4388,,0.3766,,81.23637207689279,46.413182521422954,63.775162786633906,63.775162786633906,1.0501719683548503,0.8244445994264302
11219.6296,,0.3755,,81.23637207689279,46.413971833204315,63.65079408174146,63.65079408174146,1.0501541092259212,0.8228228471006138
11219.8203,,0.3742,,81.23637207689279,46.414760731300255,63.50433600378619,63.50433600378619,1.0501362600640565,0.820915609645206
11220.0111,,0.3726,,81.23637207689279,46.415550043081616,63.32486126335992,63.32486126335992,1.0501184021496004,0.8185816331541936
11220.2018,,0.3709,,81.23637207689279,46.41633894117756,63.13516034813094,63.13516034813094,1.0501005542015098,0.8161155548455572
11220.3926,,0.3691,,81.23637207689279,46.41712825295891,62.93540699775058,62.93540699775058,1.0500826975014028,0.8135196126926101
11220.5834,,0.3673,,81.23637207689279,46.41791756474027,62.73679740981251,62.73679740981251,1.050064841408583,0.8109385431474198
11220.7741,,0.3657,,81.23637207689279,46.41870646283622,62.56123744798036,62.56123744798036,1.0500469952810811,0.808655503979649
11220.9649,,0.3644,,81.23637207689279,46.41949577461758,62.419301114035186,62.419301114035186,1.0500291404024245,0.8068071409103894
11221.1557,,0.3638,,81.23637207689279,46.420285086398934,62.3541350009457,62.3541350009457,1.0500112861309623,0.8059511252663378
11221.3464,,0.3639,,81.23637207689279,46.42107398449488,62.36530242044473,62.36530242044473,1.0499934418237706,0.8060817693439242
11221.5372,,0.3649,,81.23637207689279,46.42186329627624,62.47473176032318,62.47473176032318,1.0499755887662858,0.8074824316498468
11221.728,,0.3665,,81.23637207689279,46.42265260805759,62.65036931848825,62.65036931848825,1.0499577363159025,0.8097387693129886
11221.9187,,0.3687,,81.23637207689279,46.42344150615354,62.893215549442594,62.893215549442594,1.0499398938287423,0.8128636763102444
11222.1095,,0.3711,,81.23637207689279,46.4242308179349,63.16004299829196,63.16004299829196,1.0499220425921505,0.8162984099315425
11222.3002,,0.3734,,81.23637207689279,46.42501971603084,63.417672082973155,63.417672082973155,1.0499042013180844,0.819614153801744
11222.491,,0.3754,,81.23637207689279,46.4258090278122,63.64326507436791,63.64326507436791,1.0498863512951606,0.8225157481207226
11222.6818,,0.3768,,81.23637207689279,46.42659833959356,63.80211178317376,63.80211178317376,1.0498685018791833,0.8245546397754754
11222.8725,,0.3776,,81.23637207689279,46.427387237689494,63.8933059332645,63.8933059332645,1.0498506624246848,0.8257191679491661
11223.0633,,0.378,,81.23637207689279,46.42817654947085,63.939113677688404,63.939113677688404,1.04983281422219,0.8262971121800448
11223.2541,,0.3779,,81.23637207689279,46.42896586125221,63.927966208828195,63.927966208828195,1.049814966626549,0.8261390064108228
11223.4448,,0.3775,,81.23637207689279,46.42975475934816,63.88267050901087,63.88267050901087,1.0497971289913395,0.8255396244084027
11223.6356,,0.377,,81.23637207689279,46.43054407112952,63.82607278681681,63.82607278681681,1.0497792826089951,0.8247942047248653
11223.8264,,0.3766,,81.23637207689279,46.43133338291088,63.780911432915865,63.780911432915865,1.0497614368334116,0.8241965946606719
11224.0171,,0.3764,,81.23637207689279,46.43212228100681,63.75847811423085,63.75847811423085,1.0497436010172132,0.8238927059379075
11224.2079,,0.3766,,81.23637207689279,46.43291159278817,63.78141127532552,63.78141127532552,1.0497257564547409,0.8241750399115423
11224.3986,,0.3771,,81.23637207689279,46.43370049088412,63.838431168283385,63.838431168283385,1.049707921850956,0.8248978284315226
11224.5894,,0.3779,,81.23637207689279,46.43448980266548,63.92970090934981,63.92970090934981,1.049690078501471,0.8260631420442146
11224.7802,,0.3791,,81.23637207689279,46.435279114446836,64.06691745248615,64.06691745248615,1.0496722357585924,0.8278221043261111
11224.9709,,0.3803,,81.23637207689279,46.436068012542776,64.20466039471441,64.20466039471441,1.0496544029733545,0.8295878157992039
11225.1617,,0.3815,,81.23637207689279,46.43685732432414,64.3429330574397,64.3429330574397,1.0496365614432777,0.8313603042693781
11225.3525,,0.3824,,81.23637207689279,46.4376466361055,64.44704707456836,64.44704707456836,1.0496187205197143,0.8326913839487351
11225.5432,,0.383,,81.23637207689279,46.43843553420144,64.51670281596832,64.51670281596832,1.049600889552746,0.8335772134500838
11225.734,,0.3832,,81.23637207689279,46.4392248459828,64.54011043949835,64.54011043949835,1.049583049841799,0.8338654745450347
11225.9248,,0.3831,,81.23637207689279,46.44001415776416,64.52876380406198,64.52876380406198,1.0495652107372728,0.8337047045444144
11226.1155,,0.3824,,81.23637207689279,46.440803055860094,64.44800871955059,64.44800871955059,1.0495473815882956,0.8326472129523386
11226.3063,,0.3813,,81.23637207689279,46.441592367641455,64.32134458603797,64.32134458603797,1.0495295436962002,0.8309966300490725
11226.4971,,0.3796,,81.23637207689279,46.442381679422816,64.1263495279054,64.1263495279054,1.0495117064104331,0.8284633200409419
11226.6878,,0.3775,,81.23637207689279,46.44317057751876,63.886894605977034,63.886894605977034,1.0494938790791686,0.825355725867287
11226.8786,,0.3748,,81.23637207689279,46.44395988930012,63.58132805413312,63.58132805413312,1.049476043005647,0.821394147342477
11227.0693,,0.3717,,81.23637207689279,46.44474878739605,63.23370608317319,63.23370608317319,1.0494582168859312,0.8168894146371171
11227.2601,,0.3684,,81.23637207689279,46.44553809917741,62.86740338076331,62.86740338076331,1.0494403820245315,0.8121435033847965
11227.4509,,0.3651,,81.23637207689279,46.44632741095877,62.50492164695999,62.50492164695999,1.049422547769305,0.807447113231333
11227.6416,,0.362,,81.23637207689279,46.44711630905472,62.1678526220603,62.1678526220603,1.049404723466839,0.8030791691144133
11227.8324,,0.3594,,81.23637207689279,46.447905620836075,61.887719283325865,61.887719283325865,1.0493868904235497,0.7994468442370023
11228.0232,,0.3574,,81.23637207689279,46.448694932617435,61.673846274677054,61.673846274677054,1.0493690579863408,0.7966705591726084
11228.2139,,0.3562,,81.23637207689279,46.449483830713376,61.54627675296637,61.54627675296637,1.0493512355008463,0.795009180002177
11228.4047,,0.3557,,81.23637207689279,46.45027314249474,61.49342947522886,61.49342947522886,1.049333404275389,0.7943130403550457
11228.5955,,0.3559,,81.23637207689279,46.4510624542761,61.51495386061798,61.51495386061798,1.0493155736559197,0.7945775697316283
11228.7862,,0.3569,,81.23637207689279,46.45185135237204,61.621640615584106,61.621640615584106,1.0492977529871197,0.7959421054907526
11228.977,,0.3586,,81.23637207689279,46.4526406641534,61.80356789933243,61.80356789933243,1.0492799235792163,0.798278423129883
11229.1677,,0.361,,81.23637207689279,46.45342956224933,62.0619296626018,62.0619296626018,1.0492621041212855,0.8016019085880814
11229.3585,,0.3641,,81.23637207689279,46.454218874030694,62.39844067489527,62.39844067489527,1.049244275924825,0.8059346451709841
