type,procs,run,num_ranks,run_time_s,total_time_s,init_time_s,started_at,finished_at,complete,path
weak,32,1,32,,,,2026-06-18 13:42:42.475173863,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_32_procs_run1/output_run1.log
weak,32,2,32,,,,2026-06-18 22:28:58.852271178,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_32_procs_run2/output_run2.log
weak,32,3,32,,,,2026-06-19 07:18:13.273482727,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_32_procs_run3/output_run3.log
weak,32,4,32,,,,2026-06-19 16:04:50.699997444,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_32_procs_run4/output_run4.log
weak,32,5,32,,,,2026-06-20 00:50:43.633832913,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_32_procs_run5/output_run5.log
weak,64,1,64,,,,2026-06-18 13:42:48.868491541,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_64_procs_run1/output_run1.log
weak,64,2,64,,,,2026-06-18 22:29:10.003420851,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_64_procs_run2/output_run2.log
weak,64,3,64,,,,2026-06-19 07:18:21.051874590,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_64_procs_run3/output_run3.log
weak,64,4,64,,,,2026-06-19 16:05:01.245795982,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_64_procs_run4/output_run4.log
weak,64,5,64,,,,2026-06-20 00:50:54.017215675,,False,/global/homes/b/badr/scratch/kgd_weak_scaling_outputs/kgd_benchmark_weak_64_procs_run5/output_run5.log
