type,procs,run,num_ranks,run_time_s,total_time_s,init_time_s,started_at,finished_at,complete,path
strong,32,1,32,1803.874541683,1806.042939247,0.347522007,2026-06-13 13:09:25.627710801,2026-06-13 13:39:31.670650048,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run1/output_run1.log
strong,32,2,32,1815.295951627,1817.579958279,0.432458927,2026-06-13 16:27:50.208156157,2026-06-13 16:58:07.788114436,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run2/output_run2.log
strong,32,3,32,1811.54218065,1813.463599023,0.298670027,2026-06-13 19:46:54.106086415,2026-06-13 20:17:07.569685438,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run3/output_run3.log
strong,32,4,32,1815.453366369,1817.585271236,0.351349582,2026-06-13 23:06:15.869362373,2026-06-13 23:36:33.454633609,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run4/output_run4.log
strong,32,5,32,1813.923518883,1816.370871645,0.416201872,2026-06-14 02:25:33.558693863,2026-06-14 02:55:49.929565508,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run5/output_run5.log
strong,32,6,32,1819.23984022,1821.537592741,0.75026002,2026-06-14 05:44:45.418368033,2026-06-14 06:15:06.955960774,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run6/output_run6.log
strong,32,7,32,1808.339857055,1810.485118044,0.392153507,2026-06-14 09:04:22.042690315,2026-06-14 09:34:32.527808359,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run7/output_run7.log
strong,32,8,32,,,,2026-06-14 12:23:36.972823444,,False,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_32_procs_run8/output_run8.log
strong,64,1,64,1849.950757558,1853.283698482,0.606722705,2026-06-13 12:38:28.214175462,2026-06-13 13:09:21.497873944,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run1/output_run1.log
strong,64,2,64,1848.706074322,1851.794418765,0.553825703,2026-06-13 15:56:54.267881240,2026-06-13 16:27:46.062300005,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run2/output_run2.log
strong,64,3,64,1849.713110032,1858.429525748,6.644023734,2026-06-13 19:15:50.395553113,2026-06-13 19:46:48.825078861,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run3/output_run3.log
strong,64,4,64,1852.123474429,1854.94997023,0.747966943,2026-06-13 22:35:16.544671905,2026-06-13 23:06:11.494642135,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run4/output_run4.log
strong,64,5,64,1881.831081645,1885.088617942,0.969183804,2026-06-14 01:54:02.041120566,2026-06-14 02:25:27.129738508,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run5/output_run5.log
strong,64,6,64,1845.300741513,1850.667671769,3.284454368,2026-06-14 05:13:48.215241039,2026-06-14 05:44:38.882912808,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run6/output_run6.log
strong,64,7,64,1847.996490345,1865.30058823,0.865048197,2026-06-14 08:33:12.094384216,2026-06-14 09:04:17.394972446,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run7/output_run7.log
strong,64,8,64,1846.310902901,1854.894252516,6.396508637,2026-06-14 11:52:36.772929830,2026-06-14 12:23:31.667182346,True,/global/homes/b/badr/scratch/kgd_strong_scaling_outputs/kgd_benchmark_64_procs_run8/output_run8.log
